,Player,Nation,Pos,Squad.2,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
257,Marc Guiu,es ESP,FW,Barcelona,17,2006,0.4,1,2,1,50.0,5.14,2.57,0.5,1.0,0,0,0,0.4,0.4,0.18,0.6,0.6
260,İlkay Gündoğan,de GER,MF,Barcelona,32,1990,9.3,0,15,4,26.7,1.61,0.43,0.0,0.0,0,0,0,0.9,0.9,0.06,-0.9,-0.9
261,Joško Gvardiol,hr CRO,DF,Manchester City,21,2002,6.3,1,2,1,50.0,0.32,0.16,0.5,1.0,0,0,0,0.1,0.1,0.06,0.9,0.9
262,Erling Haaland,no NOR,FW,Manchester City,23,2000,8.6,6,41,20,48.8,4.76,2.32,0.1,0.2,0,2,2,7.0,5.4,0.13,-1.0,-1.4
263,Janik Haberer,de GER,MF,Union Berlin,29,1994,4.0,0,4,1,25.0,1.01,0.25,0.0,0.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
264,Amadou Haidara,ml MLI,"MF,DF",RB Leipzig,25,1998,3.0,0,4,1,25.0,1.35,0.34,0.0,0.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
266,Achraf Hakimi,ma MAR,DF,Paris S-G,24,1998,10.9,1,17,3,17.6,1.56,0.28,0.06,0.33,1,0,0,1.0,1.0,0.06,0.0,0.0
268,Sébastien Haller,ci CIV,"FW,MF",Dortmund,29,1994,0.7,1,1,1,100.0,1.41,1.41,1.0,1.0,0,0,0,0.3,0.3,0.31,0.7,0.7
269,Micah Hamilton,eng ENG,FW,Manchester City,19,2003,1.2,1,3,1,33.3,2.52,0.84,0.33,1.0,0,0,0,0.2,0.2,0.07,0.8,0.8
270,Dávid Hancko,sk SVK,DF,Feyenoord,25,1997,6.0,1,7,2,28.6,1.17,0.33,0.14,0.5,1,0,0,1.3,1.2,0.22,-0.3,-0.2
273,Reo Hatate,jp JPN,MF,Celtic,25,1997,1.5,0,3,2,66.7,2.01,1.34,0.0,0.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
274,Kai Havertz,de GER,"MF,FW",Arsenal,24,1999,9.2,1,11,3,27.3,1.19,0.33,0.09,0.33,0,0,0,1.0,1.0,0.09,0.0,0.0
275,Benjamin Henrichs,de GER,"DF,MF",RB Leipzig,26,1997,5.5,0,5,2,40.0,0.92,0.37,0.0,0.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
276,Mario Hermoso,es ESP,DF,Atlético Madrid,28,1995,9.1,1,4,1,25.0,0.44,0.11,0.25,1.0,0,0,0,0.1,0.1,0.03,0.9,0.9
277,Lucas Hernández,fr FRA,DF,Paris S-G,27,1996,9.3,1,4,1,25.0,0.43,0.11,0.25,1.0,0,0,0,0.7,0.7,0.16,0.3,0.3
278,Theo Hernández,fr FRA,DF,Milan,25,1997,6.0,0,9,2,22.2,1.5,0.33,0.0,0.0,1,0,0,0.8,0.8,0.08,-0.8,-0.8
280,Ricardo Horta,pt POR,"FW,MF",Braga,28,1994,5.6,0,17,6,35.3,3.06,1.08,0.0,0.0,0,0,0,1.2,1.2,0.07,-1.2,-1.2
281,Mats Hummels,de GER,DF,Dortmund,34,1988,13.0,1,10,1,10.0,0.77,0.08,0.1,1.0,0,0,0,0.9,0.9,0.09,0.1,0.1
282,Oh Hyeon-gyu,kr KOR,"FW,MF",Celtic,22,2001,1.2,0,3,1,33.3,2.6,0.87,0.0,0.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
287,Rasmus Højlund,dk DEN,FW,Manchester Utd,20,2003,5.4,5,11,6,54.5,2.04,1.11,0.45,0.83,0,0,0,3.5,3.5,0.32,1.5,1.5
288,Mauro Icardi,ar ARG,FW,Galatasaray,30,1993,5.8,2,19,5,26.3,3.3,0.87,0.05,0.2,0,1,2,4.1,2.6,0.14,-2.1,-1.6
